seq_page_links;link_to_voting_record;law_id;record_id
http://parlament.ba/olaw/OLawDetails?lawId=57008;http://parlament.ba/oLaw/GetOwisDocument/?documentId=167756&data=85011A50281930A4FF980E3BA28279AC&lang=bs;57008;167756
http://parlament.ba/olaw/OLawDetails?lawId=57008;http://parlament.ba/oLaw/GetOwisDocument/?documentId=167757&data=81C79330F5A3B6EA2E69A607ADB92D02&lang=bs;57008;167757
http://parlament.ba/olaw/OLawDetails?lawId=57008;http://parlament.ba/oLaw/GetOwisDocument/?documentId=168874&data=6EDB3980FF8A6F18BF816D3463E4A98D&lang=bs;57008;168874
http://parlament.ba/olaw/OLawDetails?lawId=57008;http://parlament.ba/oLaw/GetOwisDocument/?documentId=168875&data=2966A27D818F3DF57E66A511F076A026&lang=bs;57008;168875
http://parlament.ba/olaw/OLawDetails?lawId=57008;http://parlament.ba/oLaw/GetOwisDocument/?documentId=170702&data=090E8B853D3ACB5557F7CF0772F4CD4E&lang=bs;57008;170702
http://parlament.ba/olaw/OLawDetails?lawId=57007;http://parlament.ba/oLaw/GetOwisDocument/?documentId=167760&data=A1C71B0E2AB05952DBBF493ADF625358&lang=bs;57007;167760
http://parlament.ba/olaw/OLawDetails?lawId=57007;http://parlament.ba/oLaw/GetOwisDocument/?documentId=167761&data=89EADDF7C80A97961C00147F4C8EB40F&lang=bs;57007;167761
http://parlament.ba/olaw/OLawDetails?lawId=57007;http://parlament.ba/oLaw/GetOwisDocument/?documentId=168869&data=4FBA01AAF4ECFD0DDC4538B116E993B8&lang=bs;57007;168869
http://parlament.ba/olaw/OLawDetails?lawId=57007;http://parlament.ba/oLaw/GetOwisDocument/?documentId=168870&data=E6D185A87B98A56D837A3A48F84A71F3&lang=bs;57007;168870
http://parlament.ba/olaw/OLawDetails?lawId=57007;http://parlament.ba/oLaw/GetOwisDocument/?documentId=168872&data=185FB091920508FD9C9AD59544DAC754&lang=bs;57007;168872
http://parlament.ba/olaw/OLawDetails?lawId=57007;http://parlament.ba/oLaw/GetOwisDocument/?documentId=170701&data=52E47E8A2DAE2C6697FD063D032A35B9&lang=bs;57007;170701
http://parlament.ba/olaw/OLawDetails?lawId=56892;http://parlament.ba/oLaw/GetOwisDocument/?documentId=166762&data=E58D5CA1EB8013A50E6EA0D7C80AD788&lang=bs;56892;166762
http://parlament.ba/olaw/OLawDetails?lawId=56892;http://parlament.ba/oLaw/GetOwisDocument/?documentId=166763&data=F478348B371E25DDC512D84A32E76736&lang=bs;56892;166763
http://parlament.ba/olaw/OLawDetails?lawId=56891;http://parlament.ba/oLaw/GetOwisDocument/?documentId=166764&data=4BDF6B29C4236DDA361338155CFD8950&lang=bs;56891;166764
http://parlament.ba/olaw/OLawDetails?lawId=56891;http://parlament.ba/oLaw/GetOwisDocument/?documentId=166765&data=544A5B8225198BB0C1BE70E149C8FD4A&lang=bs;56891;166765
http://parlament.ba/olaw/OLawDetails?lawId=56890;http://parlament.ba/oLaw/GetOwisDocument/?documentId=166766&data=D8E344CDB1965DE7A15C1D5B618ABC12&lang=bs;56890;166766
http://parlament.ba/olaw/OLawDetails?lawId=56890;http://parlament.ba/oLaw/GetOwisDocument/?documentId=166767&data=775045A5E0F5851AA75B376AF3AC4CDD&lang=bs;56890;166767
http://parlament.ba/olaw/OLawDetails?lawId=56889;http://parlament.ba/oLaw/GetOwisDocument/?documentId=166768&data=33A48FF926276788A0A9F241F502A69F&lang=bs;56889;166768
http://parlament.ba/olaw/OLawDetails?lawId=56889;http://parlament.ba/oLaw/GetOwisDocument/?documentId=166769&data=855F41A221154333AA9F764B74B02017&lang=bs;56889;166769
